Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2012,3.583,3.52,3.499,3.474,3.427,3.396,3.428,3.474,3.469,3.524,3.536,3.58
2013,3.526,3.48,3.431,3.428,3.441,3.458,3.449,3.448,3.428,3.462,3.491,3.501
2014,3.552,3.561,3.669,3.687,3.735,3.626,3.645,3.673,3.732,3.766,3.858,3.82
2015,3.758,3.496,3.463,3.397,3.387,3.366,3.43,3.389,3.392,3.338,3.299,3.31
2016,3.313,3.23,3.187,3.155,3.157,3.115,3.062,3.141,3.229,3.292,3.28,3.29
2017,3.318,3.3,3.315,3.259,3.242,3.213,3.219,3.168,3.209,3.158,3.15,3.155
2018,2.961,2.923,2.903,2.924,2.919,2.877,2.839,2.871,2.89,2.913,2.877,2.853
2019,2.913,2.9,2.944,2.98,2.963,3.054,3.031,3.045,3.102,3.119,3.189,3.188
2020,3.253,3.196,3.248,3.267,3.21,3.198,3.255,3.406,3.448,3.38,3.425,3.535
2021,3.468,3.368,3.348,3.447,3.497,3.557,3.627,3.56,3.585,3.663,3.671,3.743
